,NDPD1,NHAPD1,NIPD1,NRPD1,NDPD2,NHAPD2,NIPD2,NRPD2,HOCC1PD,HOCC2PD,NPPD1,NPPD2
16585,253,686,2468,2162,126,464,1394,1233,6332835,5357962,253,126
16586,223,642,2506,2249,140,465,1356,1243,6333254,5358287,223,140
16587,199,579,2460,2256,125,490,1392,1238,6333634,5358652,199,125
16588,239,647,2487,2239,126,439,1411,1302,6334042,5358965,239,126
16589,238,596,2402,2210,135,451,1368,1223,6334400,5359281,238,135
16590,217,585,2391,2171,122,451,1382,1230,6334768,5359610,217,122
16591,234,628,2411,2159,125,467,1441,1292,6335162,5359952,234,125
16592,268,605,2434,2233,148,451,1412,1281,6335499,5360255,268,148
16593,232,660,2595,2340,138,429,1356,1257,6335927,5360546,232,138
16594,218,593,2446,2234,133,489,1440,1295,6336302,5360902,218,133
16595,241,627,2470,2227,125,447,1431,1302,6336688,5361224,241,125
16596,216,649,2496,2217,132,478,1380,1211,6337121,5361570,216,132
16597,253,588,2537,2283,149,443,1346,1213,6337456,5361864,253,149
16598,238,638,2514,2274,118,484,1435,1313,6337856,5362230,238,118
16599,236,590,2475,2264,147,432,1356,1258,6338210,5362515,236,147
16600,218,572,2373,2170,152,455,1374,1200,6338564,5362818,218,152
16601,228,663,2604,2326,143,455,1370,1256,6338999,5363130,228,143
16602,238,641,2568,2334,121,459,1421,1305,6339402,5363468,238,121
16603,232,615,2532,2313,128,443,1386,1272,6339785,5363783,232,128
16604,227,646,2543,2282,142,455,1406,1239,6340204,5364096,227,142
16605,262,602,2477,2269,128,466,1398,1264,6340544,5364434,262,128
16606,218,611,2452,2260,131,450,1347,1202,6340937,5364753,218,131
16607,227,607,2471,2223,139,479,1413,1232,6341317,5365093,227,139
16608,228,673,2586,2321,135,476,1429,1291,6341762,5365434,228,135
16609,238,642,2517,2239,157,471,1413,1262,6342166,5365748,238,157
16610,226,617,2516,2340,146,498,1442,1290,6342557,5366100,226,146
16611,268,625,2445,2232,149,471,1413,1279,6342914,5366422,268,149
16612,251,588,2418,2199,133,428,1325,1211,6343251,5366717,251,133
16613,241,621,2436,2193,137,453,1456,1335,6343631,5367033,241,137
16614,205,605,2375,2149,144,468,1423,1302,6344031,5367357,205,144
16615,220,603,2444,2248,150,456,1428,1285,6344414,5367663,220,150
16616,219,649,2433,2186,115,467,1381,1248,6344844,5368015,219,115
16617,213,624,2506,2249,127,469,1384,1214,6345255,5368357,213,127
16618,257,600,2495,2261,157,433,1381,1266,6345598,5368633,257,157
16619,222,617,2422,2172,149,483,1395,1267,6345993,5368967,222,149
16620,197,620,2469,2246,122,424,1353,1236,6346416,5369269,197,122
16621,233,638,2441,2184,150,455,1408,1283,6346821,5369574,233,150
16622,224,634,2500,2245,135,419,1322,1256,6347231,5369858,224,135
16623,248,622,2495,2283,129,464,1387,1224,6347605,5370193,248,129
16624,240,635,2556,2291,139,489,1459,1254,6348000,5370543,240,139
16625,239,591,2475,2237,148,490,1427,1255,6348352,5370885,239,148
16626,227,641,2512,2251,148,461,1401,1234,6348766,5371198,227,148
16627,253,632,2539,2332,138,479,1431,1256,6349145,5371539,253,138
16628,237,596,2423,2219,122,459,1383,1244,6349504,5371876,237,122
16629,234,658,2477,2201,139,442,1442,1332,6349928,5372179,234,139
16630,249,608,2510,2327,122,471,1355,1209,6350287,5372528,249,122
16631,247,603,2392,2183,131,457,1422,1303,6350643,5372854,247,131
16632,234,603,2428,2183,163,443,1417,1301,6351012,5373134,234,163
16633,242,622,2508,2290,147,457,1372,1228,6351392,5373444,242,147
16634,240,592,2414,2221,126,464,1409,1263,6351744,5373782,240,126
16635,250,624,2441,2214,145,479,1432,1267,6352118,5374116,250,145
16636,260,611,2457,2228,151,455,1462,1341,6352469,5374420,260,151
16637,225,626,2478,2252,153,484,1406,1226,6352870,5374751,225,153
16638,210,674,2520,2252,139,480,1435,1271,6353334,5375092,210,139
16639,224,625,2540,2288,154,496,1425,1246,6353735,5375434,224,154
16640,218,675,2549,2272,144,438,1405,1295,6354192,5375728,218,144
